"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Educational Software Product: Investigating the Need for a New Software Methodology","Z. Bassfar","Faculty of Computer and Information Technology, University of Tabuk, Tabuk, Saudi Arabia",2020 International Conference on Computing and Information Technology (ICCIT-1441),"23 Nov 2020","2020","","","1","4","Developing software needs art in addition to the scientific knowledge. Graduation project is a compulsory course requires the students to develop a software product. Students are using the traditional software development methodologies typically designed for software oriented for business (business software), therefore it is not suitable for software developed to fulfill requirements of academic subject (educational software). These two types of software are different in many perspectives. In educational software, the purpose is to satisfy pedagogical and educational purpose. This sharp variance caused many difficulties such as loss of time, cost and quality commitment and missing the correct guidance that helps the students later in the industry. In this paper, we are targeting to identify, clarify, explore, and highlight the variances between educational and business software. To achieve this target, a comparison based on software life cycle and project knowledge areas has been prepared between educational and business software. The results that have been extracted from the comparisons proved the difficulties of using tradition methodologies to develop educational software. Finally, recommendations to develop especial methodology for educational software have been stated.","","978-1-7281-2680-7","10.1109/ICCIT-144147971.2020.9213755","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9213755","Software;Education;and Methodology","Software;Stakeholders;Education;Project management;Software measurement;Software engineering","","1","","20","IEEE","23 Nov 2020","9-10 Sept. 2020","9-10 Sept. 2020","IEEE","IEEE Conferences"
"Measuring the Impact of Scrum on Product Development at Adobe Systems","P. Green","Adobe Systems, Inc., USA",2011 44th Hawaii International Conference on System Sciences,"22 Feb 2011","2011","","","1","10","Over the past several years scrum has grown to become the most commonly used product development method at Adobe Systems. Large desktop software products like Premiere Pro and After Effects, Platform tools like Adobe AIR, and Software as a Service products like Acrobat Connect and Omniture SiteCatalyst are using scrum to become more effective at delivering the right solutions to customers with higher quality. This paper discusses the methods Adobe Systems is putting in place to measure the impact scrum has had on these teams.","1530-1605","978-1-4244-9618-1","10.1109/HICSS.2011.306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5718992","","Companies;Software;Area measurement;Planning;Customer satisfaction;Best practices","","13","","11","IEEE","22 Feb 2011","4-7 Jan. 2011","4-7 Jan. 2011","IEEE","IEEE Conferences"
"Exploring the Evolutionary Characteristics of Project Management Approaches at Different Levels of Operations","N. Saleem; S. Mathrani; A. Sajjad","School of Food and Advanced Technology, Massey University, Auckland, New Zealand; School of Food and Advanced Technology, Massey University, Auckland, New Zealand; School of Management, Massey University, Auckland, New Zealand",2021 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE),"1 Mar 2022","2021","","","1","7","Project management sets the foundation of software development and is considered a critical area as it has a direct relationship with project success. In recent years, project management has rapidly evolved into a more structured and sophisticated methodology which is vital not only to meet the growing stakeholder expectations and technology improvements but also a mandatory requirement for the software development companies to achieve competitive advantage and maintain business survival. Software project management approaches have evolved from traditional to agile to global with a shift in their inherent characteristics at different levels of operations and this shift poses a challenge for companies in choosing the appropriate approach based on their project needs. Current literature lacks attention in understanding the evolutionary characteristics of the varying project management approaches at the different operational levels. This study investigates the project management approaches at the individual, project, team and company levels to examine how these approaches vary in terms of characteristics in traditional, agile, and global software development contexts. Improved understanding of the evolution of project management approaches and their underlying characteristics will enable project management professionals and software developers to make appropriate decisions to achieve project success.","","978-1-6654-9552-3","10.1109/CSDE53843.2021.9718471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9718471","Project management;software project management;IT project management;evolution of project management;multilevel project management;levels of project management","Computer science;Conferences;Project management;Companies;Data engineering;Software;Stakeholders","","4","","47","IEEE","1 Mar 2022","8-10 Dec. 2021","8-10 Dec. 2021","IEEE","IEEE Conferences"
"Configuration Tool for CI/CD Pipelines and React Web Apps","F. Cák; P. Dakić","Slovak University of Technology in Bratislava, Bratislava, Slovakia; Slovak University of Technology in Bratislava, Bratislava, Slovakia",2024 14th International Conference on Advanced Computer Information Technologies (ACIT),"16 Oct 2024","2024","","","586","591","Continuous Integration and Continuous Deployment (CI/CD) pipelines are critical for software development teams to deliver software effectively and reliably in a high-demand business environment. In response to the increasing use of Agile management and other principles of Agile software development and Lean management. Despite increasing adoption, configuring pipelines, particularly for React web applications, remains a time-consuming and complex task. The proposed tool can be utilized for the automatic creation of pipelines that are used for the deployment of automated applications, including testing and building. The application requirements were defined in the requirements modeling phase. Unified Modeling Language was used to create diagrams for architecture design, including the analysis diagram and the activity diagram. This tool aims to streamline and standardize the pipeline configuration in React projects for the GitLab environment, thereby enhancing efficiency and reducing the potential for errors.","2770-5226","979-8-3503-5004-3","10.1109/ACIT62333.2024.10712482","Erasmus; European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10712482","Pipeline scripts;YAML;CI/CD;Software architecture","Productivity;Automation;Pipelines;Unified modeling language;Collaboration;Computer architecture;Manuals;Software;Software reliability;Testing","","","","21","IEEE","16 Oct 2024","19-21 Sept. 2024","19-21 Sept. 2024","IEEE","IEEE Conferences"
"Unifying Governance, Risk and Controls Framework Using SDLC, CICD and DevOps","S. A. Ganugapati; S. Prabhu","Symbiosis Institute of Digital and Telecom Management (of Aff.), Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Digital and Telecom Management (of Aff.), Symbiosis International (Deemed University), Pune, India",2023 8th International Conference on Communication and Electronics Systems (ICCES),"1 Aug 2023","2023","","","1797","1802","This paper aims to study different software development frameworks and propose an efficient and comprehensive framework for handling Software Development Life Cycle (SDLC) in an IT Project. Risks and controls, work products and IT Audit risk parameters for each phase are also analysed. Furthermore, it covers Continuous Integration Continuous Deployment/Deliver (CICD) during support to the project along with management of code, branching strategies, storage of code, and CICD Pipelining. The paper also introduces Development-Operations (DevOps) and teaming structures to orchestrate project’s success. It also depicts the importance of cross functional teams in a DevOps environment.","","979-8-3503-9663-8","10.1109/ICCES57224.2023.10192730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10192730","SDLC;IT Project;CICD;DevOps;Risks;Governance","Codes;Buildings;Organizations;Software;Pipeline processing","","","","13","IEEE","1 Aug 2023","1-3 June 2023","1-3 June 2023","IEEE","IEEE Conferences"
"SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents","F. Lin; D. J. Kim; T. -H. Chen","Software PErformance, Analysis, and Reliability (SPEAR) lab, Concordia University, Montreal, Canada; DePaul University, Chicago, USA; Software PErformance, Analysis, and Reliability (SPEAR) lab, Concordia University, Montreal, Canada",2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"23 Jun 2025","2025","","","1527","1539","Software process models are essential to facilitate collaboration and communication among software teams to solve complex development tasks. Inspired by these software engineering practices, we present FlowGen - a code generation framework that emulates software process models based on multiple Large Language Model (LLM) agents. We emulate three process models, FlowGenWaterfall, FlowGenTDD, and FlowGenScrum, by assigning LLM agents to embody roles (i.e., requirement engineer, architect, developer, tester, and scrum master) that correspond to everyday development activities and organize their communication patterns. The agents work collaboratively using chain-of-thought and prompt composition with continuous selfrefinement to improve the code quality. We use GPT3.5 as our underlying LLM and several baselines (RawGPT, CodeT, Reflexion) to evaluate code generation on four benchmarks: HumanEval, HumanEval-ET, MBPP, and MBPP-ET. Our findings show that FlowGenScrum excels compared to other process models, achieving a Pass@1 of 75.2, 65.5, 82.5, and 56.7 in HumanEval, HumanEval-ET, MBPP, and MBPP-ET, respectively (an average of 15% improvement overRawGPT). Compared with other state-of-the-art techniques, FlowGenScrum achieves a higher Pass@1 in MBPP compared to CodeT, with both outperforming Reflexion. Notably, integrating CodeT into FlowGenScrum resulted in statistically significant improvements, achieving the highest Pass@1 scores. Our analysis also reveals that the development activities impacted code smell and exception handling differently, with design and code review adding more exception handling and reducing code smells. Finally, FlowGen models maintain stable Pass@1 scores across GPT3.5 versions and temperature values, highlighting the effectiveness of software process models in enhancing the quality and stability of LLM-generated code.","1558-1225","979-8-3315-0569-1","10.1109/ICSE55347.2025.00140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029771","Large Language Model;Code Generation;Agents;Software Process Model","Codes;Reviews;Large language models;Benchmark testing;Software;Stability analysis;Standards;Thermal stability;Software engineering;Software development management","","14","","53","IEEE","23 Jun 2025","26 April-6 May 2025","26 April-6 May 2025","IEEE","IEEE Conferences"
"A Case Study to Increase Quality of Industrial Edge Software Product’s Dynamic Data Testing","Z. Ateş; Y. E. Şencan","Siemens Turkey, Istanbul, Turkey; Siemens Turkey, Istanbul, Turkey",2023 International Conference on Software and System Engineering (ICoSSE),"25 Sep 2023","2023","","","25","29","In recent years, the importance of software testing has increased with the transition from waterfall to agile working methodology. Software testing process increases the quality of software, supplies more secure, verified, and validated software. Especially, testing has great importance on industrial applications that effects human life. There are many types of testing methodologies such as system, integration, smoke, unit, regression testing etc. At the base, all software testing progress starts with manual testing. Testers and test automation developers has a key role on development teams. Projects are completed with the quality approval of the software by testers. Besides of manual testing, test automation has an importance to expose incidents and to decrease human effort. Many different types of test automation frameworks and tools have developed. It is also stage of deployment process of pipelines on some projects. Because of all these reasons, this paper offers a new technique to automate visualized device anomaly values on application’s interface on industrial software products area. Anomaly values are the most important part of devices and testing the anomaly values on graphs doesn’t give effective results on manual testing. The results show that the device anomaly score accuracy of the developed automation robot improves the test quality of system.","","979-8-3503-2424-2","10.1109/ICoSSE58936.2023.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10257518","software testing;test automation;industrial software testing;test automation framework;testing tools;edge device testing","Software testing;Automation;Service robots;Pipelines;Manuals;System integration;Software","","","","11","IEEE","25 Sep 2023","13-15 April 2023","13-15 April 2023","IEEE","IEEE Conferences"
"Agile Deployment: Lean Service Management and Deployment Strategies for the SaaS Enterprise","R. Benefield","British Telecom Public Limited Company, UK",2009 42nd Hawaii International Conference on System Sciences,"20 Jan 2009","2009","","","1","5","The software as a service (SaaS) delivery model has recently become an acceptable business model for software delivery. However, the attractiveness of SaaS to customers, with their low upfront costs and seamless delivery, changes the game in ways that challenge traditional software development methodologies. As customers begin to treat software as an on demand utility, expectations of high uptime, predictable quality, strong security and privacy, and lower total costs become at least as critical as time-honored feature functionality requirements. The efficiency and accuracy of delivery can make or break a business. As demands upon the service increase and change, the resilience and transparent scalability of the operational architecture becomes as important as that of the software running within it. This paper explores how these new challenges parallel modern demands within manufacturing, and how many key lean manufacturing techniques might be applicable within this emerging field.","1530-1605","978-0-7695-3450-3","10.1109/HICSS.2009.52","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4755766","","Programming;Software quality;Security;Privacy;Cost function;Resilience;Scalability;Computer architecture;Pulp manufacturing;Lean production","","4","","2","IEEE","20 Jan 2009","5-8 Jan. 2009","5-8 Jan. 2009","IEEE","IEEE Conferences"
"Critical Challenges and Solutions for an Ultra-Large-Scale Enterprise DevOps Platform","M. Chen; W. Yao; J. Chen; H. Liang; Y. Chen; H. Qiao; C. Yang; M. Li; J. Tong","Institute of basic operation, Research Institute of China Telecom Co., Ltd., Guangzhou, China; Institute of basic operation, Research Institute of China Telecom Co., Ltd., Guangzhou, China; Big Data and Artificial Intelligence Center, China Telecom Group Corporation, Beijing, China; Institute of basic operation, Research Institute of China Telecom Co., Ltd., Guangzhou, China; Institute of basic operation, Research Institute of China Telecom Co., Ltd., Guangzhou, China; Institute of basic operation, Research Institute of China Telecom Co., Ltd., Guangzhou, China; Institute of basic operation, Research Institute of China Telecom Co., Ltd., Guangzhou, China; Institute of basic operation, Research Institute of China Telecom Co., Ltd., Guangzhou, China; Institute of basic operation, Research Institute of China Telecom Co., Ltd., Shanghai, China",2022 7th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),"26 May 2022","2022","","","167","171","As the enterprise IT systems continuously migrate to cloud, conventional waterfall development process model undermines system flexibility and brings some unacceptable disadvantages, such as slow delivery of business requirements, long release cycles and high risk of manual deployment. However, adopting the DevOps methodology can solve these problems as it helps enterprise develop and deliver IT systems and software products efficiently. Based on the widely adopted processes and toolchains, we have developed a novel ultra-large-scale enterprise application development platform, YunDao. Although it has achieved many successes and wide applications, some critical challenges still exist with the promotion and extensive use of this advanced platform. In this study, a preliminary analysis was conducted on the critical challenges during the operation and maintenance process. Some solutions were proposed and discussed to grapple with these issues to further optimize the platform. This work can contribute to the understanding the DevOps concept, yielding new insights into developing and optimizing other ultra-large-scale platforms.","","978-1-6654-8711-5","10.1109/ICCCBDA55098.2022.9778937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778937","DevOps practices;ultra-large-scale platform;YunDao;continuous delivery;continuous integration","Cloud computing;Ecosystems;Manuals;Computer architecture;Maintenance engineering;Big Data;Software","","3","","11","IEEE","26 May 2022","22-24 April 2022","22-24 April 2022","IEEE","IEEE Conferences"
"Project Management for Scientific Research: Strategy, Leadership, and Implementation","A. Dutta","Department of Mechanical and Materials Engineering, University of Turku, Turku, Finland","2025 7th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (ICHORA)","2 Jun 2025","2025","","","1","10","Scientific research in academia and industry nowadays is frequently carried out via research, development, and innovation projects where project management is usually employed to ensure optimal performance and outcome. However, traditional project management often fails to address the volatility and uncertainty intrinsic to scientific research, and developing an adaptive project management framework is essential to secure project success. This work presents the development of such a framework consisting of models for strategy, leadership, and implementation designed for scientific research projects in academia and customized for a small (20 workers) academic research group. The framework and the models therein are constructed through literature review and developed via qualitative action research, while their relevance is evaluated through quantitative survey research. The developed project management framework suggests a blue-ocean model for project strategy, a lean-hybrid (combination of waterfall, agile, and lean principles) model for project implementation, and a transformational (middle-of-the-road) model for project leadership. The reported findings offer a project management framework having models that are applicable for scientific research not only in academia but also in small innovation-based startups. In addition, the development method provides a hands-on approach to the practitioners of scientific research in academia and industry to enable project management as a change.","2996-4393","979-8-3315-1088-6","10.1109/ICHORA65333.2025.11017040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11017040","agile method;blue ocean strategy;lean principles;transformational leadership;waterfall method","Surveys;Industries;Leadership;Adaptation models;Oceans;Project management;Entrepreneurship;Minimization;Heat maps;Systematic literature review","","","","67","IEEE","2 Jun 2025","23-24 May 2025","23-24 May 2025","IEEE","IEEE Conferences"
"A double comparative study: Process models and student skills","P. Ciancarini; C. Dos; S. Zuppiroli","Department of Computer Science, University of Bologna, Italy; Department of Computer Science, University of Bologna, Italy; Department of Computer Science, University of Bologna, Italy",2013 26th International Conference on Software Engineering Education and Training (CSEE&T),"12 Sep 2013","2013","","","189","198","We report on a recent experience in our Software Engineering laboratory course. More than one hundred students, from two different degrees, were divided in teams grouping diverse competences and skills, and had to develop four software products using a process model chosen among Waterfall, Spiral, and Extreme Programming. The two degrees involved were Computer Science and Informatics for Management. The former students have a standard, strong, background in programming, systems, and algorithms, while the latter students have a weaker training in programming compensated by some courses in Economics and Management. This situation allowed us to perform a double comparative study: on one hand, analyzing the laboratory results we obtained a comparison of the process models, which reproduced some results already known in literature. On the other hand we could compare “on the field” the different skills of students following different curricula, especially with respect to the requirements of the different process models. We discuss the results of this experience.","2377-570X","978-1-4673-5140-9","10.1109/CSEET.2013.6595250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6595250","","Spirals;Documentation;Software;Analytical models;Biological system modeling;Programming;Software engineering","","4","","10","IEEE","12 Sep 2013","19-21 May 2013","19-21 May 2013","IEEE","IEEE Conferences"
"An Exploratory Study of V-Model in Building ML-Enabled Software: A Systems Engineering Perspective","J. J. Wu",NA,2024 IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI (CAIN),"18 Jun 2024","2024","","","30","40","Machine learning (ML) components are being added to more and more critical and impactful software systems, but the software development process of real-world production systems from prototyped ML models remains challenging with additional complexity and interdisciplinary collaboration challenges. This poses difficulties in using traditional software lifecycle models such as waterfall, spiral, or agile models when building ML-enabled systems. In this research, we apply a Systems Engineering lens to investigate the use of V-Model in addressing the interdisciplinary collaboration challenges when building ML-enabled systems. By interviewing practitioners from software companies, we established a set of 8 propositions for using V-Model to manage interdisciplinary collaborations when building products with ML components. Based on the propositions, we found that despite requiring additional efforts, the characteristics of V-Model align effectively with several collaboration challenges encountered by practitioners when building ML-enabled systems. We recommend future research to investigate new process models that leverage the characteristics of V-Model such as the system decomposition, clear system boundary, and consistency of Validation & Verification (V&V) for building ML-enabled systems.","","979-8-4007-0591-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556295","Systems engineering and theory;V-Model;ML-Enabled System","Production systems;Spirals;Buildings;Collaboration;Machine learning;Software systems;Modeling","","","","77","","18 Jun 2024","14-15 April 2024","14-15 April 2024","IEEE","IEEE Conferences"
"The Effects of Test-Driven Development on External Quality and Productivity: A Meta-Analysis","Y. Rafique; V. B. Mišić","Ryerson University, Toronto, ON, Canada; Ryerson University, Toronto",IEEE Transactions on Software Engineering,"23 May 2013","2013","39","6","835","856","This paper provides a systematic meta-analysis of 27 studies that investigate the impact of Test-Driven Development (TDD) on external code quality and productivity. The results indicate that, in general, TDD has a small positive effect on quality but little to no discernible effect on productivity. However, subgroup analysis has found both the quality improvement and the productivity drop to be much larger in industrial studies in comparison with academic studies. A larger drop of productivity was found in studies where the difference in test effort between the TDD and the control group's process was significant. A larger improvement in quality was also found in the academic studies when the difference in test effort is substantial; however, no conclusion could be derived regarding the industrial studies due to the lack of data. Finally, the influence of developer experience and task size as moderator variables was investigated, and a statistically significant positive correlation was found between task size and the magnitude of the improvement in quality.","1939-3520","","10.1109/TSE.2012.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197200","Test-driven development;meta-analysis;code quality;programmer productivity;agile software development","Productivity;Computational modeling;Testing;Process control;Programming;Size measurement","","98","","71","IEEE","8 May 2012","June 2013","","IEEE","IEEE Journals"
"New method for mobile application testing using lean canvas to improving the test strategy","P. Nidagundi; L. Novickis","Faculty of Computer Science and Information Technology, Riga Technical University, Riga, Latvia; Head of the Division of Software Engineering, Riga Technical University, Riga, Latvia",2017 12th International Scientific and Technical Conference on Computer Sciences and Information Technologies (CSIT),"9 Nov 2017","2017","1","","171","174","The rise of mobile smartphones and its usage of mobile applications made the human life more productive and boosted several activities in everyday routine jobs and business areas. In another side now a day, most of the business and personal applications transferred to the mobile apps. The one hand mobile application providing more features than traditional desktop applicationas and proving endless opportunities for new ventures. Day to day mobile application are becoming a part of several model device with different mobile operating system such as Android, iOS, Windows, BlackBerry, Symbian, etc. and it becomes challenging to development and quality assurance teams to verify and validate mobile app that works on end-user mobile with no error. With growing technology, mobile application development companies adopted new tools and work in different development approaches such as waterfall, agile, prototyping [1], [2], [3] but still, challenges are same for the quality assurance team to test the application and make application error free in the dedicated short time. The testing mobile application becomes more challenging due to the growing number of devices by the different vendor and test on all possible devices sometimes impossible for the quality assurance team. The mobile application testing team most of the time face challenges related to the usability, interrupts, poor connections, device settings with functional and non-functional testing issues. In such situation, test planning and building more proper test strategy to cover all aspects will lead to making application error free. From many years, lean canvas boards are used for the developing business plans, strategy and for risk analysis. This paper is focuses on the re-design and develop lean canvas design using lean principles to use it for the mobile application testing process and it can affect precisely on app testing quality, resource, cost and time.","","978-1-5386-1639-0","10.1109/STC-CSIT.2017.8098761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8098761","lean canvas for testing;mobile app testing;mobile application test planning;test process;test strategy","Testing;Mobile communication;Mobile applications;Measurement;Quality assurance;Planning","","6","","19","IEEE","9 Nov 2017","5-8 Sept. 2017","5-8 Sept. 2017","IEEE","IEEE Conferences"
"Improving Development Practices through Experimentation: An Industrial TDD Case","A. Santos; J. Spisak; M. Oivo; N. Juristo","M3S ITEE, University of Oulu, Finland; Play among friends (Paf), Finland; M3S ITEE, University of Oulu, Finland; Universidad Politécnica de Madrid, Spain",2018 25th Asia-Pacific Software Engineering Conference (APSEC),"23 May 2019","2018","","","465","473","Test-Driven Development (TDD), an agile development approach that enforces the construction of software systems by means of successive micro-iterative testing coding cycles, has been widely claimed to increase external software quality. In view of this, some managers at Paf-a Nordic gaming entertainment company-were interested in knowing how would TDD perform at their premises. Eventually, if TDD outperformed their traditional way of coding (i.e., YW, short for Your Way), it would be possible to switch to TDD considering the empirical evidence achieved at the company level. We conduct an experiment at Paf to evaluate the performance of TDD, YW and the reverse approach of TDD (i.e., ITL, short for Iterative-Test Last) on external quality. TDD outperforms YW and ITL at Paf. Despite the encouraging results, we cannot recommend Paf to immediately adopt TDD as the difference in performance between YW and TDD is small. However, as TDD looks promising at Paf, we suggest to move some developers to TDD and to run a future experiment to compare the performance of TDD and YW. TDD slightly outperforms ITL in controlled experiments for TDD novices. However, more industrial experiments are still needed to evaluate the performance of TDD in real-life contexts.","2640-0715","978-1-7281-1970-0","10.1109/APSEC.2018.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719427","Experiment;Industry;Quality;Test-Driven Development;Iterative Test-Last","Industries;Software systems;Testing;Encoding;Software quality;Iterative methods;Batteries","","3","","40","IEEE","23 May 2019","4-7 Dec. 2018","4-7 Dec. 2018","IEEE","IEEE Conferences"
"WEAVE: WEb Applications Validation Environment","S. P. Rajan; O. Tkachuk; M. Prasad; I. Ghosh; N. Goel; Tadahiro Uehara","Trusted Systems Innovation Group, Fujitsu Laboratories of America, Inc., Sunnyvale, CA, USA; Trusted Systems Innovation Group, Fujitsu Laboratories of America, Inc., Sunnyvale, CA, USA; Trusted Systems Innovation Group, Fujitsu Laboratories of America, Inc., Sunnyvale, CA, USA; Trusted Systems Innovation Group, Fujitsu Laboratories of America, Inc., Sunnyvale, CA, USA; Trusted Systems Innovation Group, Fujitsu Laboratories of America, Inc., Sunnyvale, CA, USA; Software Innovation Laboratories, Fujitsu Laboratories Limited, Kawasaki, Japan",2009 31st International Conference on Software Engineering - Companion Volume,"12 Jun 2009","2009","","","101","111","Ensuring software quality in the presence of multiple software development methodologies such as agile and waterfall models is a challenging task. Web applications are released to customers in “Beta” mode due to tremendous pressure on “time-to-market”. In order to check end-to-end functional behavior of web applications, conventional testing tools have not matched short release cycles and have not kept up with agile software methodologies. In this paper we present a tool framework called WEb Applications Validation Environment (WEAVE) for checking functional behavior such as business logic and security of web applications. We have used WEAVE for finding defects in large Javacentric commercial-strength Web applications. As part of WEAVE, we have developed (1) a semi-automatic method for environment generation to constrain the behavior of the application for scalability, (2) an intuitive interface for engineers to construct requirements that are compiled into temporal logic to address the issue of usability, and (3) symbolic execution tailored to finding business logic and security defects. We describe how we have architected WEAVE as a web service for company's internal software teams to improve software quality without an upfront investment in licenses and computing infrastructure.","","978-1-4244-3495-4","10.1109/ICSE-COMPANION.2009.5070968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5070968","","Application software;Software quality;Logic;Business;Security;Programming;Software testing;Software tools;Java;Scalability","","5","3","12","IEEE","12 Jun 2009","16-24 May 2009","16-24 May 2009","IEEE","IEEE Conferences"
"Empirical Validation of Test-Driven Pair Programming in Game Development","Shaochun Xu; V. Rajlich","Department of Computer Science, Algoma University College, Laurentian University, Canada; Department of Computer Science, Wayne State University, USA","5th IEEE/ACIS International Conference on Computer and Information Science and 1st IEEE/ACIS International Workshop on Component-Based Software Engineering,Software Architecture and Reuse (ICIS-COMSAR'06)","24 Jul 2006","2006","","","500","505","This paper investigates the effects of some extreme programming practices in game development by conducting a case study with 12 students who were assigned to implement a simple game application either as pairs or as individuals. The pairs used some XP practices, such as pair programming, test-driven and refactoring, while the individuals applied the traditional waterfall-like approach. The results of the case study showed that paired students completed their tasks faster and with higher quality than individuals. The programs written by pairs pass more test cases than those developed by individuals. Paired programmers also wrote cleaner code with higher cohesion by creating more reasonable number of methods. Therefore, some XP practices, such as pair programming, test-driven and refactoring could be used in game development.","","0-7695-2613-6","10.1109/ICIS-COMSAR.2006.34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652039","","Programming profession;Automatic testing;System testing;Computer science;Writing;Educational institutions;Application software;Failure analysis;Toy industry;Information science","","14","","24","IEEE","24 Jul 2006","10-12 July 2006","10-12 July 2006","IEEE","IEEE Conferences"
